Web Search interest: vaccine
Denmark 2010-2014

Interest over time
Week,vaccine
2010-01-03 - 2010-01-09,18
2010-01-10 - 2010-01-16,20
2010-01-17 - 2010-01-23,20
2010-01-24 - 2010-01-30,16
2010-01-31 - 2010-02-06,16
2010-02-07 - 2010-02-13,18
2010-02-14 - 2010-02-20,13
2010-02-21 - 2010-02-27,17
2010-02-28 - 2010-03-06,15
2010-03-07 - 2010-03-13,16
2010-03-14 - 2010-03-20,18
2010-03-21 - 2010-03-27,13
2010-03-28 - 2010-04-03,18
2010-04-04 - 2010-04-10,16
2010-04-11 - 2010-04-17,17
2010-04-18 - 2010-04-24,12
2010-04-25 - 2010-05-01,14
2010-05-02 - 2010-05-08,15
2010-05-09 - 2010-05-15,12
2010-05-16 - 2010-05-22,19
2010-05-23 - 2010-05-29,18
2010-05-30 - 2010-06-05,18
2010-06-06 - 2010-06-12,22
2010-06-13 - 2010-06-19,21
2010-06-20 - 2010-06-26,17
2010-06-27 - 2010-07-03,19
2010-07-04 - 2010-07-10,22
2010-07-11 - 2010-07-17,23
2010-07-18 - 2010-07-24,17
2010-07-25 - 2010-07-31,24
2010-08-01 - 2010-08-07,25
2010-08-08 - 2010-08-14,17
2010-08-15 - 2010-08-21,12
2010-08-22 - 2010-08-28,15
2010-08-29 - 2010-09-04,12
2010-09-05 - 2010-09-11,14
2010-09-12 - 2010-09-18,14
2010-09-19 - 2010-09-25,12
2010-09-26 - 2010-10-02,15
2010-10-03 - 2010-10-09,15
2010-10-10 - 2010-10-16,17
2010-10-17 - 2010-10-23,18
2010-10-24 - 2010-10-30,13
2010-10-31 - 2010-11-06,15
2010-11-07 - 2010-11-13,15
2010-11-14 - 2010-11-20,17
2010-11-21 - 2010-11-27,18
2010-11-28 - 2010-12-04,19
2010-12-05 - 2010-12-11,14
2010-12-12 - 2010-12-18,18
2010-12-19 - 2010-12-25,16
2010-12-26 - 2011-01-01,13
2011-01-02 - 2011-01-08,17
2011-01-09 - 2011-01-15,21
2011-01-16 - 2011-01-22,15
2011-01-23 - 2011-01-29,15
2011-01-30 - 2011-02-05,15
2011-02-06 - 2011-02-12,21
2011-02-13 - 2011-02-19,17
2011-02-20 - 2011-02-26,13
2011-02-27 - 2011-03-05,15
2011-03-06 - 2011-03-12,15
2011-03-13 - 2011-03-19,14
2011-03-20 - 2011-03-26,20
2011-03-27 - 2011-04-02,19
2011-04-03 - 2011-04-09,17
2011-04-10 - 2011-04-16,15
2011-04-17 - 2011-04-23,18
2011-04-24 - 2011-04-30,21
2011-05-01 - 2011-05-07,19
2011-05-08 - 2011-05-14,19
2011-05-15 - 2011-05-21,17
2011-05-22 - 2011-05-28,18
2011-05-29 - 2011-06-04,12
