month,de,vaccinerede,mfr,måneders,allerede,vaccinen,ved,mæslinger,udbrud,år,voksne,vaccination,røde,undersøgelser,vaccinen,levende,før,ved,alderen,haft,gives,hundevirus,kan,flere,børn,vaccineres,hunde,vaccine,både,års,mæslinge,fåresyge
2014-08,260,15,36,314,57,93,376,8,392,369,313,237,340,207,93,253,246,376,360,364,292,0,437,359,416,159,369,110,262,278,10,53
2014-09,212,5,28,250,59,87,304,10,188,303,244,218,293,217,87,201,230,304,213,276,211,46,369,322,329,117,277,102,149,201,40,45
2014-10,209,0,25,281,66,96,318,7,175,320,284,237,277,239,96,205,228,318,288,317,213,0,367,326,343,86,282,126,133,196,0,49
2014-11,259,16,41,360,82,129,426,10,214,438,398,238,377,309,129,253,283,426,363,374,265,0,450,406,448,148,332,116,138,218,10,89
2014-12,209,0,30,236,60,89,271,7,140,365,311,167,237,178,89,197,268,271,208,303,207,0,367,324,337,98,321,73,114,226,11,70
2015-01,211,0,40,330,63,80,312,8,113,330,271,251,261,241,80,197,217,312,280,308,224,42,382,318,335,119,293,96,129,203,45,68
2015-02,208,14,184,274,67,179,307,149,195,321,314,285,249,224,179,189,216,307,253,302,202,0,381,317,329,246,275,155,145,203,150,97
2015-03,251,149,127,304,80,212,407,97,191,393,335,289,312,254,212,208,275,407,296,421,298,0,473,391,393,196,336,180,217,237,128,112
2015-04,198,28,50,237,59,119,323,24,153,314,283,199,289,225,119,200,225,323,249,315,231,85,373,316,312,150,278,90,181,223,72,65
2015-05,259,42,56,251,83,147,397,29,166,387,346,231,345,272,147,247,287,397,310,406,265,234,464,405,370,162,393,131,229,263,53,64
2015-06,202,22,62,281,110,121,326,36,90,277,234,216,230,213,121,169,224,326,230,324,216,84,375,292,299,121,288,120,183,188,54,44
2015-07,283,26,39,259,262,94,348,18,109,271,258,207,209,88,94,171,199,348,200,251,217,0,389,275,320,139,353,94,260,189,44,42
2015-08,241,21,36,336,409,158,388,10,151,369,335,236,359,224,158,248,271,388,287,345,282,0,465,395,394,181,380,103,251,278,45,147
2015-09,208,16,36,273,227,124,310,9,128,301,281,248,379,228,124,180,230,310,299,323,204,0,376,320,343,133,288,131,130,201,36,45
2015-10,201,32,25,247,174,98,329,10,134,314,321,245,320,233,98,178,245,329,276,299,218,0,385,327,370,157,308,135,129,194,9,47
2015-11,255,24,43,372,182,143,404,14,184,428,439,263,429,303,143,227,282,404,335,421,247,0,469,416,446,174,365,133,150,209,8,50
