Web Search interest: 5
Denmark 2010-2014

Interest over time
Week,5
2010-01-03 - 2010-01-09,19
2010-01-10 - 2010-01-16,19
2010-01-17 - 2010-01-23,19
2010-01-24 - 2010-01-30,21
2010-01-31 - 2010-02-06,20
2010-02-07 - 2010-02-13,21
2010-02-14 - 2010-02-20,21
2010-02-21 - 2010-02-27,22
2010-02-28 - 2010-03-06,21
2010-03-07 - 2010-03-13,20
2010-03-14 - 2010-03-20,21
2010-03-21 - 2010-03-27,22
2010-03-28 - 2010-04-03,22
2010-04-04 - 2010-04-10,23
2010-04-11 - 2010-04-17,22
2010-04-18 - 2010-04-24,20
2010-04-25 - 2010-05-01,20
2010-05-02 - 2010-05-08,23
2010-05-09 - 2010-05-15,25
2010-05-16 - 2010-05-22,21
2010-05-23 - 2010-05-29,23
2010-05-30 - 2010-06-05,23
2010-06-06 - 2010-06-12,21
2010-06-13 - 2010-06-19,22
2010-06-20 - 2010-06-26,20
2010-06-27 - 2010-07-03,21
2010-07-04 - 2010-07-10,22
2010-07-11 - 2010-07-17,21
2010-07-18 - 2010-07-24,22
2010-07-25 - 2010-07-31,22
2010-08-01 - 2010-08-07,22
2010-08-08 - 2010-08-14,20
2010-08-15 - 2010-08-21,22
2010-08-22 - 2010-08-28,22
2010-08-29 - 2010-09-04,21
2010-09-05 - 2010-09-11,24
2010-09-12 - 2010-09-18,23
2010-09-19 - 2010-09-25,25
2010-09-26 - 2010-10-02,26
2010-10-03 - 2010-10-09,25
2010-10-10 - 2010-10-16,23
2010-10-17 - 2010-10-23,25
2010-10-24 - 2010-10-30,22
2010-10-31 - 2010-11-06,25
2010-11-07 - 2010-11-13,24
2010-11-14 - 2010-11-20,23
2010-11-21 - 2010-11-27,26
2010-11-28 - 2010-12-04,24
2010-12-05 - 2010-12-11,25
2010-12-12 - 2010-12-18,24
2010-12-19 - 2010-12-25,24
2010-12-26 - 2011-01-01,24
2011-01-02 - 2011-01-08,25
2011-01-09 - 2011-01-15,23
2011-01-16 - 2011-01-22,23
2011-01-23 - 2011-01-29,24
2011-01-30 - 2011-02-05,24
2011-02-06 - 2011-02-12,25
2011-02-13 - 2011-02-19,24
2011-02-20 - 2011-02-26,25
2011-02-27 - 2011-03-05,26
2011-03-06 - 2011-03-12,26
2011-03-13 - 2011-03-19,23
2011-03-20 - 2011-03-26,24
2011-03-27 - 2011-04-02,24
2011-04-03 - 2011-04-09,26
2011-04-10 - 2011-04-16,24
2011-04-17 - 2011-04-23,26
2011-04-24 - 2011-04-30,34
2011-05-01 - 2011-05-07,34
2011-05-08 - 2011-05-14,31
2011-05-15 - 2011-05-21,31
2011-05-22 - 2011-05-28,28
2011-05-29 - 2011-06-04,29
2011-06-05 - 2011-06-11,32
2011-06-12 - 2011-06-18,29
2011-06-19 - 2011-06-25,29
2011-06-26 - 2011-07-02,28
2011-07-03 - 2011-07-09,30
2011-07-10 - 2011-07-16,30
2011-07-17 - 2011-07-23,32
2011-07-24 - 2011-07-30,32
2011-07-31 - 2011-08-06,34
2011-08-07 - 2011-08-13,34
2011-08-14 - 2011-08-20,37
2011-08-21 - 2011-08-27,38
2011-08-28 - 2011-09-03,41
2011-09-04 - 2011-09-10,41
2011-09-11 - 2011-09-17,38
2011-09-18 - 2011-09-24,40
2011-09-25 - 2011-10-01,43
2011-10-02 - 2011-10-08,62
2011-10-09 - 2011-10-15,49
2011-10-16 - 2011-10-22,37
2011-10-23 - 2011-10-29,34
2011-10-30 - 2011-11-05,35
2011-11-06 - 2011-11-12,31
2011-11-13 - 2011-11-19,30
2011-11-20 - 2011-11-26,29
2011-11-27 - 2011-12-03,28
2011-12-04 - 2011-12-10,29
2011-12-11 - 2011-12-17,29
2011-12-18 - 2011-12-24,29
2011-12-25 - 2011-12-31,32
2012-01-01 - 2012-01-07,31
2012-01-08 - 2012-01-14,29
2012-01-15 - 2012-01-21,28
2012-01-22 - 2012-01-28,29
2012-01-29 - 2012-02-04,38
2012-02-05 - 2012-02-11,33
2012-02-12 - 2012-02-18,31
2012-02-19 - 2012-02-25,31
2012-02-26 - 2012-03-03,33
2012-03-04 - 2012-03-10,33
2012-03-11 - 2012-03-17,32
2012-03-18 - 2012-03-24,33
2012-03-25 - 2012-03-31,31
2012-04-01 - 2012-04-07,33
2012-04-08 - 2012-04-14,32
2012-04-15 - 2012-04-21,29
2012-04-22 - 2012-04-28,30
2012-04-29 - 2012-05-05,33
2012-05-06 - 2012-05-12,32
2012-05-13 - 2012-05-19,32
2012-05-20 - 2012-05-26,27
2012-05-27 - 2012-06-02,30
2012-06-03 - 2012-06-09,33
2012-06-10 - 2012-06-16,31
2012-06-17 - 2012-06-23,30
2012-06-24 - 2012-06-30,29
2012-07-01 - 2012-07-07,29
2012-07-08 - 2012-07-14,30
2012-07-15 - 2012-07-21,31
2012-07-22 - 2012-07-28,31
2012-07-29 - 2012-08-04,33
2012-08-05 - 2012-08-11,33
2012-08-12 - 2012-08-18,33
2012-08-19 - 2012-08-25,35
2012-08-26 - 2012-09-01,36
2012-09-02 - 2012-09-08,42
2012-09-09 - 2012-09-15,100
2012-09-16 - 2012-09-22,53
2012-09-23 - 2012-09-29,54
2012-09-30 - 2012-10-06,45
2012-10-07 - 2012-10-13,39
2012-10-14 - 2012-10-20,39
2012-10-21 - 2012-10-27,37
2012-10-28 - 2012-11-03,38
2012-11-04 - 2012-11-10,39
2012-11-11 - 2012-11-17,39
2012-11-18 - 2012-11-24,39
2012-11-25 - 2012-12-01,39
2012-12-02 - 2012-12-08,39
2012-12-09 - 2012-12-15,38
2012-12-16 - 2012-12-22,38
2012-12-23 - 2012-12-29,45
2012-12-30 - 2013-01-05,38
2013-01-06 - 2013-01-12,36
2013-01-13 - 2013-01-19,35
2013-01-20 - 2013-01-26,35
2013-01-27 - 2013-02-02,37
2013-02-03 - 2013-02-09,38
2013-02-10 - 2013-02-16,38
2013-02-17 - 2013-02-23,39
2013-02-24 - 2013-03-02,36
2013-03-03 - 2013-03-09,39
2013-03-10 - 2013-03-16,37
2013-03-17 - 2013-03-23,39
2013-03-24 - 2013-03-30,38
2013-03-31 - 2013-04-06,38
2013-04-07 - 2013-04-13,37
2013-04-14 - 2013-04-20,37
2013-04-21 - 2013-04-27,36
2013-04-28 - 2013-05-04,37
2013-05-05 - 2013-05-11,39
2013-05-12 - 2013-05-18,35
2013-05-19 - 2013-05-25,35
2013-05-26 - 2013-06-01,34
2013-06-02 - 2013-06-08,38
2013-06-09 - 2013-06-15,37
2013-06-16 - 2013-06-22,35
2013-06-23 - 2013-06-29,35
2013-06-30 - 2013-07-06,37
2013-07-07 - 2013-07-13,39
2013-07-14 - 2013-07-20,39
2013-07-21 - 2013-07-27,38
2013-07-28 - 2013-08-03,39
2013-08-04 - 2013-08-10,40
2013-08-11 - 2013-08-17,39
2013-08-18 - 2013-08-24,39
2013-08-25 - 2013-08-31,39
2013-09-01 - 2013-09-07,40
2013-09-08 - 2013-09-14,49
2013-09-15 - 2013-09-21,74
2013-09-22 - 2013-09-28,65
2013-09-29 - 2013-10-05,59
2013-10-06 - 2013-10-12,52
2013-10-13 - 2013-10-19,54
2013-10-20 - 2013-10-26,47
2013-10-27 - 2013-11-02,45
2013-11-03 - 2013-11-09,46
2013-11-10 - 2013-11-16,44
2013-11-17 - 2013-11-23,41
2013-11-24 - 2013-11-30,41
2013-12-01 - 2013-12-07,42
2013-12-08 - 2013-12-14,41
2013-12-15 - 2013-12-21,41
2013-12-22 - 2013-12-28,50
2013-12-29 - 2014-01-04,47
2014-01-05 - 2014-01-11,46
2014-01-12 - 2014-01-18,41
2014-01-19 - 2014-01-25,40
2014-01-26 - 2014-02-01,39
2014-02-02 - 2014-02-08,42
2014-02-09 - 2014-02-15,43
2014-02-16 - 2014-02-22,41
2014-02-23 - 2014-03-01,41
2014-03-02 - 2014-03-08,40
2014-03-09 - 2014-03-15,38
2014-03-16 - 2014-03-22,40
2014-03-23 - 2014-03-29,38
2014-03-30 - 2014-04-05,39
2014-04-06 - 2014-04-12,38
2014-04-13 - 2014-04-19,41
2014-04-20 - 2014-04-26,38
2014-04-27 - 2014-05-03,37
2014-05-04 - 2014-05-10,40
2014-05-11 - 2014-05-17,38
2014-05-18 - 2014-05-24,38
2014-05-25 - 2014-05-31,39
2014-06-01 - 2014-06-07,40
2014-06-08 - 2014-06-14,39
2014-06-15 - 2014-06-21,40
2014-06-22 - 2014-06-28,38
2014-06-29 - 2014-07-05,39
2014-07-06 - 2014-07-12,43
2014-07-13 - 2014-07-19,40
2014-07-20 - 2014-07-26,39
2014-07-27 - 2014-08-02,40
2014-08-03 - 2014-08-09,43
